team_name,coach,team_group,fifa_ranking
France,Cassaundra Wornham,A,189
Spain,Robbyn Boldecke,E,176
England,Noelyn Ellcome,E,194
Brazil,Roxy Gladdish,H,194
Netherlands,Wynn Macveigh,C,196
Portugal,Blinni Edwick,C,203
Belgium,Emmaline Benton,G,179
Italy,Lesley Bengal,H,175
Germany,Leyla Lieb,F,191
Croatia,Lise Peppin,E,195
Switzerland,Cathyleen Swinnard,H,174
Denmark,Theo Gerrelts,A,164
Austria,Tim Illwell,A,184
Japan,Ephrayim Kerrey,D,169
Iran,Giacomo Laurenz,B,190
Senegal,Tully Planks,A,177
Morocco,Danica Benian,B,200
Uruguay,Andras Twelftree,F,187
Colombia,Brigida Pischoff,E,192
South Korea,Sinclare Ship,E,166
Ecuador,Florance Ringer,F,209
Australia,Gabriel Lett,A,182
Egypt,Merilee Eagle,G,207
Panama,Arthur Casella,A,211
Algeria,Kristel Snarie,F,174
Ivory Coast,Gilbertina Escala,B,169
Paraguay,Vivien Preshaw,F,187
Tunisia,Adrien Milksop,D,167
Cameroon,Wolfy Yushachkov,E,173
Costa Rica,Clark Merle,B,196
South Africa,Golda Climson,G,171
Uzbekistan,Erie Garnham,C,185
Scotland,Caroljean Fortune,A,174
Slovenia,Carmencita Datte,C,164
Ireland,Reggis Vigurs,G,178
Finland,Modesty Papis,E,174
Georgia,Nicolis Bernardeschi,B,208
Albania,Kaye Iglesia,B,167
North Macedonia,Rodina Sellstrom,C,176
Iceland,Tana Bracknell,G,186
Norway,Grove Netti,C,168
Slovakia,Emalee Josefson,B,191
Romania,Natala Gaudon,D,164
Greece,Danyelle Cranston,B,206
Hungary,Danika Bodocs,H,201
Czech Republic,Illa Mallon,A,177
Wales,Irving Simionato,C,192
Saudi Arabia,Ajay Watterson,G,201
